geom,df,nu,subarm,seed_index,seed,n_grid,b,c,A,rmse,cond,b_trigamma_analytic
RTH,nu3.67,3.67,reference,3,4087089,8,-1.187560099586204,0.0388831591796767,3.1074409642920737,0.00382072442290829,102.86354223051922,-1.144373249661363
RTH,nu3.67,3.67,reference,4,2590931389,8,-1.1471695162033775,0.03341959739286652,3.110550856283627,0.007841410314363131,94.63797079628145,-1.144373249661363
RTH,nu4,4.0,signal,0,2777772710,8,-1.1721714904151075,1.050796306261571,3.133709491358196,0.012450136806516007,99.69099480344671,-1.144373249661363
RTH,nu4,4.0,signal,1,2219152195,8,-1.0987973448134298,1.1225752691713573,2.805068998938252,0.007397865619134707,84.97194698601571,-1.144373249661363
RTH,nu4,4.0,signal,2,3443109406,8,-1.2535572603336986,0.9733169847656582,3.911256366231954,0.011113126737637953,120.26390812063376,-1.144373249661363
RTH,nu4,4.0,signal,3,3731007168,8,-1.1083361858770748,1.03073676718471,2.877145010003013,0.011381187510992194,86.82713059364386,-1.144373249661363
RTH,nu4,4.0,signal,4,1042925527,8,-0.9640154150220821,1.0733192973232768,2.257849871002174,0.0035640589714633747,63.58467225039947,-1.144373249661363
RTH,nu4,4.0,reference,0,1734218797,8,-1.1345737218667136,0.02606467884110107,3.038447701454131,0.002820189613140825,92.04069496273071,-1.144373249661363
RTH,nu4,4.0,reference,1,602177309,8,-1.2183508380764767,0.027283497405822477,3.412604445572853,0.006185065513050387,110.4491366965204,-1.144373249661363
RTH,nu4,4.0,reference,2,3813652189,8,-1.1017600667100365,0.025422629979479684,2.8555470986241183,0.0059238593535767626,85.61546771269128,-1.144373249661363
RTH,nu4,4.0,reference,3,787091767,8,-1.1682940167493558,0.03114006974109625,3.093472553956743,0.006709438321647969,98.79447482885752,-1.144373249661363
RTH,nu4,4.0,reference,4,977332774,8,-1.1851663568664013,0.028903540297432192,3.32670798872757,0.014733595636928162,102.91753523665483,-1.144373249661363
RTH,nu6,6.0,signal,0,689237432,8,-1.1334324485725624,1.0720383645908662,3.035286972987327,0.007669410004642923,91.817996641796,-1.144373249661363
RTH,nu6,6.0,signal,1,3978279518,8,-1.2007576297839053,1.0755487988837067,3.5324422637256436,0.01024912585504284,106.8649016687342,-1.144373249661363
RTH,nu6,6.0,signal,2,1055950227,8,-1.1574682555782558,1.0770964346769263,3.2085484498272527,0.011205042569093559,96.92514619277736,-1.144373249661363
RTH,nu6,6.0,signal,3,2419235118,8,-1.078414200266782,1.0708489689754799,2.7868948019172635,0.013990719809647867,81.47757586620146,-1.144373249661363
RTH,nu6,6.0,signal,4,3340648954,8,-1.0334325683441634,1.0702768768648399,2.5945455694296364,0.01007938559144192,73.93631644531074,-1.144373249661363
RTH,nu6,6.0,reference,0,1598498757,8,-1.1008724020637686,0.008880654539257994,2.7460420548525875,0.00467853474839182,85.19284160752686,-1.144373249661363
RTH,nu6,6.0,reference,1,3568320724,8,-1.1146188006584155,0.009533867833266225,2.7691695205602502,0.000978608238620358,87.69471228068596,-1.144373249661363
RTH,nu6,6.0,reference,2,3101758517,8,-1.1450970270289673,0.00993507111007541,3.0226295003833696,0.006022697291519795,94.00479097571143,-1.144373249661363
RTH,nu6,6.0,reference,3,3984026720,8,-1.115525411215525,0.00873413659340646,2.915369828195461,0.0007503877732741534,88.2101863691875,-1.144373249661363
RTH,nu6,6.0,reference,4,2091817742,8,-1.1450657440693701,0.010738007923074888,3.1164737539872585,0.003150465475499847,94.2486133006698,-1.144373249661363
RTH,nu10,10.0,signal,0,630190941,8,-1.174387554510139,0.9950532179924456,3.3390638372945918,0.0077341415396066406,100.71046747611919,-1.144373249661363
RTH,nu10,10.0,signal,1,3378754975,8,-1.0889318460060122,1.072220160617006,2.5786195691826026,0.013449084645370807,82.769333581275,-1.144373249661363
RTH,nu10,10.0,signal,2,1328926280,8,-1.2166393965726283,1.061788468902263,3.3129644295568825,0.019016961549803466,109.80155620222297,-1.144373249661363
RTH,nu10,10.0,signal,3,3051983641,8,-1.0529460155385044,1.0098358430692853,2.3397220960520877,0.011876062061276269,76.41402431771157,-1.144373249661363
RTH,nu10,10.0,signal,4,4026658838,8,-1.244757781130562,0.9890690361160326,4.079849271333102,0.005439855914819353,118.70732167293038,-1.144373249661363
RTH,nu10,10.0,reference,0,2059131766,8,-1.1883034845463027,0.006306915001595466,3.3364285841058137,0.00584464063099671,103.60949510415482,-1.144373249661363
RTH,nu10,10.0,reference,1,3130540755,8,-1.1401294945668883,0.005476188387196046,2.977146481434589,0.0021448461691167715,92.93498426199545,-1.144373249661363
RTH,nu10,10.0,reference,2,2734450249,8,-1.1983253315578184,0.008761504380719855,3.3562649431628757,0.006384273967724296,105.82261768671776,-1.144373249661363
RTH,nu10,10.0,reference,3,2434794752,8,-1.1596968875717557,0.006781161260185047,3.1163425963399427,0.004313693213144543,97.11560239406022,-1.144373249661363
RTH,nu10,10.0,reference,4,2375233356,8,-1.0765008029964087,0.004576813607933995,2.602017587787753,0.0019106554442289451,80.71749586477036,-1.144373249661363
