root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2,lam_intercept,lam_theory,valid,r2_corr_measured,keep_raw,keep_measured,band_lo,band_hi,in_flip_band
ES,RTH,B1,1day,insample,CrossLeadLag,1900,0,0.0,0,0.7807875601570515,0.6096292140960013,0.8397800078923314,0.9765359952651714,True,0.7259391845086197,True,True,0.01679560015784663,0.02,False
ES,RTH,B1,1day,insample,RealizedQuarticity,1900,0,0.0,0,0.7925782011525482,0.6281802049422092,0.8397800078923314,0.9765359952651714,True,0.7480294827675255,True,True,0.01679560015784663,0.02,False
ES,RTH,B1,1day,insample,SignatureSlope,1900,0,0.0,0,0.13530987038579903,0.018308761023821733,0.8397800078923314,0.9765359952651714,True,0.021801853880485694,False,True,0.01679560015784663,0.02,True
ES,RTH,B1,1h,insample,RS_up,11402,3,0.000263042525208242,0,0.6584709558026167,0.4335839996356116,0.588054052124918,0.8529726155294435,True,0.7373199760614982,True,True,0.01176108104249836,0.02,False
ES,RTH,B1,1h,insample,RS_down,11401,4,0.0003507233669443227,0,0.6988090098972599,0.4883340323135887,0.588054052124918,0.8529726155294435,True,0.8304237179371631,True,True,0.01176108104249836,0.02,False
ES,RTH,B1,1h,insample,JumpVar,6064,5341,0.4683033757124068,0,0.5746551198623349,0.33022850678399446,0.588054052124918,0.8529726155294435,True,0.5615614850211853,True,True,0.01176108104249836,0.02,False
ES,RTH,B1,1h,insample,Parkinson,11405,0,0.0,0,0.7462251939020168,0.5568520400141026,0.588054052124918,0.8529726155294435,True,0.946940231092588,True,True,0.01176108104249836,0.02,False
ES,RTH,B1,1h,insample,GarmanKlass,11405,0,0.0,0,0.7532973817442167,0.5674569453426921,0.588054052124918,0.8529726155294435,True,0.9649741265997593,True,True,0.01176108104249836,0.02,False
ES,RTH,B1,1h,insample,VolumeSurprise,11405,0,0.0,0,0.2553378834940459,0.06519743474721897,0.588054052124918,0.8529726155294435,True,0.1108697993179874,True,True,0.01176108104249836,0.02,False
ES,RTH,B1,1h,insample,CrossLeadLag,11405,0,0.0,0,0.6943117568646117,0.4820688157204236,0.588054052124918,0.8529726155294435,True,0.8197695670635726,True,True,0.01176108104249836,0.02,False
ES,RTH,B1,1h,insample,RealizedQuarticity,11405,0,0.0,0,0.747714501548288,0.5590769758256048,0.588054052124918,0.8529726155294435,True,0.9507237877290271,True,True,0.01176108104249836,0.02,False
