nu,nsr,n,M,master,estimator,mean_recovery,sd_recovery
3.0,1e-05,390,13,2383867976,E4,1.2330782336592403,0.06024419444585629
3.0,1e-05,390,26,2383867976,E1_a_L1-5,0.9980582193121164,0.027628551438197986
3.0,1e-05,390,26,2383867976,E1_a_L1-10,0.9988490354689397,0.028418160527035476
3.0,1e-05,390,26,2383867976,E1_d_L1-5,1.0590239351430808,0.03395701402373195
3.0,1e-05,390,26,2383867976,E1_d_L1-10,1.1345877897017165,0.048335940666765415
3.0,1e-05,390,26,2383867976,E2,0.9957689253564632,0.02863957852405793
3.0,1e-05,390,26,2383867976,E4,1.1602502984748468,0.04473910961115221
3.0,1e-05,390,78,2383867976,E1_a_L1-5,0.9915678812359345,0.022672127237225878
3.0,1e-05,390,78,2383867976,E1_a_L1-10,0.9928709455940006,0.02271121660510123
3.0,1e-05,390,78,2383867976,E1_d_L1-5,1.0510165781965175,0.026950605393252405
3.0,1e-05,390,78,2383867976,E1_d_L1-10,1.126051062438912,0.04340173721977319
3.0,1e-05,390,78,2383867976,E2,0.9913398613104814,0.021201238297281932
3.0,1e-05,390,78,2383867976,E4,1.1229602136291483,0.03732941852469285
3.0,1e-05,390,195,2383867976,E1_a_L1-5,0.9834695999644061,0.02069028674982334
3.0,1e-05,390,195,2383867976,E1_a_L1-10,0.9838113832027215,0.02044675046131924
3.0,1e-05,390,195,2383867976,E1_d_L1-5,1.0419594897150517,0.026413673810896546
3.0,1e-05,390,195,2383867976,E1_d_L1-10,1.117310284361877,0.03981416661102745
3.0,1e-05,390,195,2383867976,E2,0.9827684781512486,0.018724553249014196
3.0,1e-05,390,195,2383867976,E4,1.1074364674734802,0.03538419113431801
3.0,1e-05,390,390,2383867976,E1_a_L1-5,0.9701630372616958,0.02034360942434353
3.0,1e-05,390,390,2383867976,E1_a_L1-10,0.9711600966074846,0.020025566451668114
3.0,1e-05,390,390,2383867976,E1_d_L1-5,1.0287087124318846,0.025473620107290575
3.0,1e-05,390,390,2383867976,E1_d_L1-10,1.1022944944702069,0.039672433575318376
3.0,1e-05,390,390,2383867976,E2,0.9689293862494033,0.01821788493148599
3.0,1e-05,390,390,2383867976,E4,1.0915840953086666,0.035644785405711775
3.0,1e-05,390,13,3610172792,E1_a_L1-5,0.9984637566493667,0.03807753641877364
3.0,1e-05,390,13,3610172792,E1_a_L1-10,0.9984573090049849,0.038402494894051654
3.0,1e-05,390,13,3610172792,E1_d_L1-5,1.0612246406354604,0.04810911586640573
3.0,1e-05,390,13,3610172792,E1_d_L1-10,1.1316988830473143,0.06007452652602679
3.0,1e-05,390,13,3610172792,E2,1.0017182568546343,0.041817911381285884
3.0,1e-05,390,13,3610172792,E4,1.233550094054662,0.07324824201620245
