nu,nsr,n,M,estimator,recovery,between_seed_sd
3.4,0.0001,390,13,E1_d_L1-10,1.1235641822777973,0.003118650534562664
3.4,0.0001,390,13,E1_d_L1-5,1.0525301142313115,0.0022293995900538677
3.4,0.0001,390,13,E2,0.99188004924238,0.002168801662537219
3.4,0.0001,390,13,E4,1.1618176462269567,0.0026743836144626806
3.4,0.0001,390,26,E1_a_L1-10,0.9837187132411256,0.001628192305270821
3.4,0.0001,390,26,E1_a_L1-5,0.9835372856734015,0.0017694514483429491
3.4,0.0001,390,26,E1_d_L1-10,1.1146840841709578,0.0023347984876610495
3.4,0.0001,390,26,E1_d_L1-5,1.0433182618622527,0.0016330961330335337
3.4,0.0001,390,26,E2,0.9824401783566481,0.0017652230413642406
3.4,0.0001,390,26,E4,1.08426930202917,0.0016579849478928139
3.4,0.0001,390,78,E1_a_L1-10,0.9503633252901317,0.0013148702100962018
3.4,0.0001,390,78,E1_a_L1-5,0.9498597854638243,0.001683634970651344
3.4,0.0001,390,78,E1_d_L1-10,1.0765969040279775,0.0008502454950178827
3.4,0.0001,390,78,E1_d_L1-5,1.006080742534022,0.0013646304900605591
3.4,0.0001,390,78,E2,0.948156545558178,0.0014820613475628281
3.4,0.0001,390,78,E4,1.0205517256283454,0.0014386542730968823
3.4,0.0001,390,195,E1_a_L1-10,0.8844590509702958,0.0010759378555429198
3.4,0.0001,390,195,E1_a_L1-5,0.88396847318483,0.001096024414061963
3.4,0.0001,390,195,E1_d_L1-10,1.0022428851316403,0.0013028809182421249
3.4,0.0001,390,195,E1_d_L1-5,0.9364557623618847,0.001528628459949593
3.4,0.0001,390,195,E2,0.8805941457829338,0.0012514223765951562
3.4,0.0001,390,195,E4,0.9460509035985064,0.0014699485762253303
3.4,0.0001,390,390,E1_a_L1-10,0.7933561406631436,0.0009631141063895493
3.4,0.0001,390,390,E1_a_L1-5,0.7928914683636377,0.0009005027062157
3.4,0.0001,390,390,E1_d_L1-10,0.899160517991643,0.001062259273854397
3.4,0.0001,390,390,E1_d_L1-5,0.8400623023075273,0.0012604737349186093
3.4,0.0001,390,390,E2,0.7876702481583714,0.0010354395483249087
3.4,0.0001,390,390,E4,0.8485108542417557,0.001295873178147058
3.4,0.0001,1380,23,E1_a_L1-10,0.9844852412184126,0.003474130227213124
3.4,0.0001,1380,23,E1_a_L1-5,0.9842202771272,0.0037618750340313823
3.4,0.0001,1380,23,E1_d_L1-10,1.1173734139059224,0.005110716626431326
3.4,0.0001,1380,23,E1_d_L1-5,1.044374103540497,0.0039075983780364155
3.4,0.0001,1380,23,E2,0.9791355729110058,0.0035318388786696854
3.4,0.0001,1380,23,E4,1.0812604214991903,0.004288988447821235
3.4,0.0001,1380,46,E1_a_L1-10,0.9697485848938884,0.0024534247704084485
3.4,0.0001,1380,46,E1_a_L1-5,0.9690542180102746,0.002604540386954718
3.4,0.0001,1380,46,E1_d_L1-10,1.1003028023731893,0.0038582470617701606
3.4,0.0001,1380,46,E1_d_L1-5,1.0274875600096252,0.002938965164188823
3.4,0.0001,1380,46,E2,0.9611421958210299,0.0018623104310305071
3.4,0.0001,1380,46,E4,1.0283413272110538,0.0026653163642242393
3.4,0.0001,1380,138,E1_a_L1-10,0.9158517240644806,0.0013341321693583436
3.4,0.0001,1380,138,E1_a_L1-5,0.915130969310507,0.0014010897180067325
3.4,0.0001,1380,138,E1_d_L1-10,1.038747716894016,0.002815646799562669
3.4,0.0001,1380,138,E1_d_L1-5,0.9698982905327036,0.0017325512147449895
3.4,0.0001,1380,138,E2,0.8952156382891584,0.0011509070926704707
3.4,0.0001,1380,138,E4,0.9544239048667776,0.0014220188334189833
3.4,0.0001,1380,345,E1_a_L1-10,0.8144218641137391,0.0021236228609938434
