root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
NQ,GLOBEX,B0,1day,138,2020,0,244,0.868608132365454,0.8615474120200598,1.2887765665692288,1.026795252823158,0.9085950377263117,0.9855662425126968,0.427229154549169
NQ,GLOBEX,B0,1day,138,2020,1,35,0.338977232913672,0.07104337938866247,-0.2765507336056494,0.07732985020144159,0.5237433643810727,0.9493863035509083,1.2259370371565577
NQ,GLOBEX,B0,1day,138,2020,2,71,0.16246618858824105,0.11933024380441185,0.37223102492550825,0.19654326537452035,-0.042168353443290015,0.8797729984817506,0.9219413519250407
NQ,GLOBEX,B0,1day,138,2020,3,138,0.8461082952859517,0.882013520331119,1.4235636075620408,1.1540642876203167,0.8953116921361285,0.9757421501545355,0.5774553122760891
NQ,GLOBEX,B0,1day,138,2021,0,246,0.7972142536946796,0.7663323120134762,1.8045478055889212,1.1678650611840464,0.7969605487643137,0.9750151331312231,1.038215493575445
NQ,GLOBEX,B0,1day,138,2021,1,86,0.3789584644998574,0.3797420649736597,-0.29498424827900827,-0.29526887478517166,0.5082175941508678,0.9442229155123217,1.2394917902974933
NQ,GLOBEX,B0,1day,138,2021,2,97,1.0399038160005012,1.0408633351785848,-0.9716091943583045,-1.2603632981819095,0.3898501654947057,0.8867198431867555,2.3012266333604945
NQ,GLOBEX,B0,1day,138,2021,3,63,0.2923333754272547,0.5217472186393032,0.6679922148558938,1.3907501045401802,0.6419988151247569,0.9464894664115351,1.0984167291129254
NQ,GLOBEX,B0,1day,138,2022,0,245,0.5488103785002444,0.5602298578905653,0.9974559423432794,0.7882045183369031,0.5661735891136601,0.948634900244327,0.448645563843035
NQ,GLOBEX,B0,1day,138,2022,2,35,-0.04719284865663987,-0.38758795194453405,0.3510432929189219,0.3502973561995525,-1.0497947549753694,0.8222623004686856,1.872057055444055
NQ,GLOBEX,B0,1day,138,2022,3,207,0.528455979743922,0.5041899183344112,1.1089061674398177,0.7357594889938454,0.5268227615384593,0.9301617662932372,0.6047162491054066
NQ,GLOBEX,B0,1day,138,2023,0,244,0.4642035160192421,0.48196836012394234,0.6998894583237957,0.6254238624504902,0.6082865235208036,0.9531247313922495,0.4889212153730074
NQ,GLOBEX,B0,1day,138,2023,1,49,0.48309643140921804,0.48339712018062037,-0.31429947791456386,-0.3965181903960725,0.5011541859171967,0.9592164707968549,1.3557346611929275
NQ,GLOBEX,B0,1day,138,2023,2,140,0.5590677251782055,0.525043343295089,1.2036805916112352,0.7396188658336391,0.6790967538102987,0.885849769783839,0.6786372483161462
