arm,grid,seed_index,estimator,ratio_max_min,elasticity,mean_abs_error_vs_true,mean_lam,mean_lam_true
A0,RTH_1day,0,E1_d_model_L1-5,20.631178098329606,1.074272346160252,0.8767538872756837,-0.003000630995427791,0.8737532562802559
A0,RTH_1day,0,E2,1.0935807037662217,-1.0039707157292597,0.015306147682310103,0.8821678325797349,0.8737532562802559
A0,RTH_1day,0,E4,1.2708670216523834,-0.8636856828088607,0.053059071497702254,0.9231711765929054,0.8737532562802559
A0,RTH_1day,1,E1_a_exp_L1-10,,,0.8801647822989546,-0.007352166178344048,0.8728126161206107
A0,RTH_1day,1,E1_a_exp_L1-5,1.0,,0.8823883806217974,-0.009575764501186832,0.8728126161206107
A0,RTH_1day,1,E1_d_model_L1-10,1.0,,0.873817742004716,-0.0010051258841053791,0.8728126161206107
A0,RTH_1day,1,E1_d_model_L1-5,1.3403960532674488,,0.8849030399508906,-0.01209042383028006,0.8728126161206107
A0,RTH_1day,1,E2,1.0744755857465704,-1.0550952603568549,0.013866048619372948,0.8676228975456113,0.8728126161206107
A0,RTH_1day,1,E4,1.2806973971734115,-0.8676806011997081,0.04744473145706753,0.9194862442834056,0.8728126161206107
A0,RTH_1day,2,E1_a_exp_L1-10,3.6219465430761653,0.1456114776954732,0.851158630605694,0.020302373269530896,0.8714610038752248
A0,RTH_1day,2,E1_a_exp_L1-5,2.3350579112190792,0.05946293077012361,0.8546391638237077,0.016821840051517115,0.8714610038752248
A0,RTH_1day,2,E1_d_model_L1-10,5.020606500918789,0.24348417888746937,0.8380939992317014,0.03336700464352344,0.8714610038752248
A0,RTH_1day,2,E1_d_model_L1-5,2.332176136902538,0.05868645592517555,0.8530933403050802,0.018367663570144674,0.8714610038752248
A0,RTH_1day,2,E2,1.0364273270436557,-1.0528475559950152,0.007626088295327779,0.8687021417680374,0.8714610038752248
A0,RTH_1day,2,E4,1.2556796418632588,-0.8634902790417978,0.051057626078423526,0.9216901196877181,0.8714610038752248
A0,RTH_1day,3,E1_a_exp_L1-10,1.1215210023133007,,0.8619759331635864,0.011697344572349604,0.873673277735936
A0,RTH_1day,3,E1_a_exp_L1-5,1.0,,0.8727790192993368,0.000894258436599204,0.873673277735936
A0,RTH_1day,3,E1_d_model_L1-10,,,0.8897186407718046,-0.016045363035868638,0.873673277735936
A0,RTH_1day,3,E1_d_model_L1-5,,,0.8901497750543242,-0.01647649731838826,0.873673277735936
