cell,model,n_eval,n_replaced,share_replaced,replacement_value,mean_qlike,share_qlike_from_replaced,share_qlike_worst5,flag_replaced_over_quarter,ic
NQ/RTH/B0/30min,M6_PARK,22312,0,0.0,1.1104184522992e-06,0.7050222540448478,0.0,0.023302549905843253,False,0.7837575198075393
NQ/RTH/B0/30min,M6_GK,22312,0,0.0,1.1104184522992e-06,0.630722220784797,0.0,0.026892687457085656,False,0.7929066787093494
NQ/RTH/B1/1h,M1_EWMA,10906,0,0.0,1.608227648830507e-06,0.3708279450181361,0.0,0.02721256106674931,False,0.7457056193447154
NQ/RTH/B1/1h,M2_HAR,10906,0,0.0,1.608227648830507e-06,0.30947329848947985,0.0,0.022130501077367457,False,0.8109248454231461
NQ/RTH/B1/1h,M3_HARJ,10906,0,0.0,1.608227648830507e-06,0.31182553751720593,0.0,0.022769318191141825,False,0.8094608825674969
NQ/RTH/B1/1h,M4_HARQ,10906,1,9.169264624977077e-05,1.608227648830507e-06,0.33419507021065625,0.056557440847980145,0.07672120977908829,False,0.8094678627992439
NQ/RTH/B1/1h,M5_RGARCH,10906,0,0.0,1.608227648830507e-06,2.4734188765819853,0.0,0.02116239703621185,False,0.703240774186619
NQ/RTH/B1/1h,M6_PARK,10906,0,0.0,1.608227648830507e-06,0.9067034743055234,0.0,0.027540067843331528,False,0.7274820778778971
NQ/RTH/B1/1h,M6_GK,10906,0,0.0,1.608227648830507e-06,0.8031109913003349,0.0,0.027058349513672135,False,0.7365385465594865
NQ/RTH/B1/30min,M1_EWMA,22312,0,0.0,1.1104184522992e-06,0.3775079401607791,0.0,0.022461092316931414,False,0.7616151014177194
NQ/RTH/B1/30min,M2_HAR,22312,0,0.0,1.1104184522992e-06,0.2770223580093727,0.0,0.016632824934452863,False,0.8443427094918284
NQ/RTH/B1/30min,M3_HARJ,22312,0,0.0,1.1104184522992e-06,0.27716296299602416,0.0,0.016585764751765507,False,0.8441902652033517
NQ/RTH/B1/30min,M4_HARQ,22312,1,4.4818931516672646e-05,1.1104184522992e-06,0.2878577682803712,0.028931758650307664,0.04586219845342625,False,0.8471195176936994
NQ/RTH/B1/30min,M5_RGARCH,22312,0,0.0,1.1104184522992e-06,2.2893687275576116,0.0,0.014961604342445941,False,0.7882988135600565
NQ/RTH/B1/30min,M6_PARK,22312,0,0.0,1.1104184522992e-06,0.6715171378226571,0.0,0.023870492299041774,False,0.7877999363997246
NQ/RTH/B1/30min,M6_GK,22312,0,0.0,1.1104184522992e-06,0.5994556048822118,0.0,0.026466718904420934,False,0.7969510574848977
NQ/GLOBEX/B1/30min,M1_EWMA,83081,0,0.0,1.8072569218929857e-07,inf,0.0,0.021978254758621547,False,
NQ/GLOBEX/B1/30min,M2_HAR,83081,0,0.0,1.8072569218929857e-07,inf,0.0,0.020581489288917326,False,
NQ/GLOBEX/B1/30min,M3_HARJ,83081,0,0.0,1.8072569218929857e-07,inf,0.0,0.021237370981635327,False,
NQ/GLOBEX/B1/30min,M4_HARQ,83081,4,4.8145785438307195e-05,1.8072569218929857e-07,inf,0.06481082773775199,0.07187150847842083,False,
NQ/GLOBEX/B1/30min,M5_RGARCH,83081,83,0.0009990250478448743,1.8072569218929857e-07,inf,inf,0.0003654972490469024,True,
NQ/GLOBEX/B1/30min,M6_PARK,83081,79,0.0009508792624065671,1.8072569218929857e-07,inf,inf,0.09953334224750761,True,
NQ/GLOBEX/B1/30min,M6_GK,83081,79,0.0009508792624065671,1.8072569218929857e-07,inf,inf,0.10409661655137521,True,
NQ/GLOBEX/B0/30min,M1_EWMA,80551,0,0.0,1.8072569218929857e-07,inf,0.0,0.02301886542376113,False,
NQ/GLOBEX/B0/30min,M2_HAR,80551,0,0.0,1.8072569218929857e-07,inf,0.0,0.022892614323935596,False,
NQ/GLOBEX/B0/30min,M3_HARJ,80551,0,0.0,1.8072569218929857e-07,inf,0.0,0.023646803634291596,False,
NQ/GLOBEX/B0/30min,M4_HARQ,80551,4,4.965798065821653e-05,1.8072569218929857e-07,inf,0.07169471403246193,0.08114909781637868,False,
NQ/GLOBEX/B0/30min,M5_RGARCH,80551,0,0.0,1.8072569218929857e-07,inf,0.0,1.0,False,
NQ/GLOBEX/B0/30min,M6_PARK,80551,79,0.0009807451179997765,1.8072569218929857e-07,inf,inf,0.11289327796784347,True,
NQ/GLOBEX/B0/30min,M6_GK,80551,79,0.0009807451179997765,1.8072569218929857e-07,inf,inf,0.1191897932941531,True,
