root,geom,btag,horizon,scheme,model,n,ic_pearson_log,r2_oos,ic_ir,ic_ir_n_blocks,ic_ir_block_len_windows,hit_rate,qlike_mean,lam_E2,ic_corrected_E2,r2_corrected_E2,lam_E4,ic_corrected_E4,r2_corrected_E4,lam_INT,ic_corrected_INT,r2_corrected_INT
NQ,RTH,B1,1day,S-C_q0.90,M5_RGARCH,140,0.5609218809464563,-0.28014026821166516,,2,63,0.4316546762589928,0.5854393675919949,0.9344009680731142,0.5802775140520511,-0.29980733944375043,0.994621494991568,0.5624364538687642,-0.2816551518565764,1.0097312791173454,0.5582123963574657,-0.2774404180650412
NQ,RTH,B1,1day,S-C_q0.90,M6_PARK,140,0.583891920361429,0.17580865020045322,,2,63,0.6402877697841727,0.22030957228957304,0.9344009680731142,0.6040401765941285,0.18815118584797602,0.994621494991568,0.585468515823602,0.17675935125647335,1.0097312791173454,0.5810714809854752,0.1741142953936576
NQ,RTH,B1,1day,S-C_q0.90,M6_GK,140,0.5760609598190651,0.18042105700491295,,2,63,0.5467625899280576,0.2209655250934968,0.9344009680731142,0.5959389944678488,0.19308740376946562,0.994621494991568,0.5776164105172416,0.1813967000647241,1.0097312791173454,0.5732783472201141,0.17868225015533604
NQ,RTH,B1,1h,S-A,M1_EWMA,10906,0.7457056193447154,0.504481195266817,1.1242846907141761,173,63,0.4811554332874828,0.3708279450181361,0.935730999945097,0.7708891035872142,0.5391305784423268,0.9781804166183807,0.7539767150472246,0.5157343028915198,0.9497789234694411,0.765166859463907,0.5311564436742826
NQ,RTH,B1,1h,S-A,M2_HAR,10906,0.8109248454231461,0.6094258435730011,3.312150440031183,173,63,0.4730857404860156,0.30947329848947985,0.935730999945097,0.8383108708690992,0.6512831610887728,0.9781804166183807,0.8199193290773411,0.623019877743839,0.9497789234694411,0.8320881607127186,0.6416502077629113
NQ,RTH,B1,1h,S-A,M3_HARJ,10906,0.8094608825674969,0.6080690181818005,3.241986143752529,173,63,0.47400275103163686,0.31182553751720593,0.935730999945097,0.8367974680138704,0.6498331445869361,0.9781804166183807,0.8184391284777754,0.621632786601807,0.9497789234694411,0.8305859917179171,0.6402216380635076
NQ,RTH,B1,1h,S-A,M4_HARQ,10906,0.8094678627992439,0.6150002471392,3.4079491462981046,173,63,0.47372764786795046,0.33419507021065625,0.935730999945097,0.8368046839774553,0.6572404325337992,0.9781804166183807,0.8184461861317159,0.6287186256143698,0.9497789234694411,0.8305931541180193,0.647519366815037
NQ,RTH,B1,1h,S-A,M5_RGARCH,10906,0.703240774186619,-0.18800567196191476,2.873490909142992,173,63,0.46024759284731775,2.4734188765819853,0.935730999945097,0.726990163350367,-0.2009185032588915,0.9781804166183807,0.7110408652605142,-0.1921993824123569,0.9497789234694411,0.7215937773195154,-0.197946771944728
NQ,RTH,B1,1h,S-A,M6_PARK,10906,0.7274820778778971,0.368613317804944,2.858190600091716,173,63,0.4792297111416781,0.9067034743055234,0.935730999945097,0.7520501285532257,0.393930860286313,0.9781804166183807,0.7355510446818162,0.3768357161343088,0.9497789234694411,0.7464677245362007,0.38810433533146727
NQ,RTH,B1,1h,S-A,M6_GK,10906,0.7365385465594865,0.416806788412711,2.9830376197771318,173,63,0.478404401650619,0.8031109913003349,0.935730999945097,0.7614124463935433,0.4454344127074626,0.9781804166183807,0.7447079644224415,0.42610420463500304,0.9497789234694411,0.7557605466890154,0.43884611261972445
