root,geom,H,M,sigma_w,implied_rq_rv2,measured_rq_rv2,constant_vol_value,abs_discrepancy,prop_discrepancy,sd_log_within_window_var,is_calibration_point
NQ,GLOBEX,0.1,6,2.5517459287941455,0.8805000875857837,0.938664361063099,1.0,-0.05816427347731534,-0.06196493218453558,1.5518894316076126,False
NQ,GLOBEX,0.1,10,2.5517459287941455,1.1242474113994638,1.1590570205149535,1.0,-0.03480960911548969,-0.030032697701122824,1.5518894316076126,False
NQ,GLOBEX,0.1,12,2.5517459287941455,1.1879605033200848,1.2895252654029532,1.0,-0.10156476208286835,-0.07876135877890789,1.5518894316076126,False
NQ,GLOBEX,0.1,23,2.5517459287941455,1.4922759995917545,1.6554942825174754,1.0,-0.16321828292572094,-0.09859187352644816,1.5518894316076126,False
NQ,GLOBEX,0.1,46,2.5517459287941455,1.9892380629421331,2.202413823965541,1.0,-0.21317576102340796,-0.09679187385392263,1.5518894316076126,False
NQ,GLOBEX,0.1,138,2.5517459287941455,2.9318938779236507,3.0305424483172274,1.0,-0.09864857039357666,-0.03255145640621315,1.5518894316076126,False
NQ,GLOBEX,0.1,276,2.5517459287941455,3.6066976484395026,3.606698088553108,1.0,-4.4011360555984425e-07,-1.2202673882466541e-07,1.5518894316076126,True
NQ,GLOBEX,0.1,345,2.5517459287941455,3.927448824761364,3.7415162701222937,1.0,0.18593255463907044,0.049694439691155834,1.5518894316076126,False
NQ,GLOBEX,0.1,1379,2.5517459287941455,6.712615223892313,5.519786828741501,1.0,1.192828395150812,0.2161004459338467,1.5518894316076126,False
NQ,GLOBEX,0.2,5,2.88187941017747,0.8781490262460433,0.8624008734817927,1.0,0.015748152764250567,0.018260826546557363,1.5390278076039976,False
NQ,GLOBEX,0.2,6,2.88187941017747,0.9792416453831746,0.938664361063099,1.0,0.04057728432007557,0.04322874714676406,1.5390278076039976,False
NQ,GLOBEX,0.2,10,2.88187941017747,1.2211120929381276,1.1590570205149535,1.0,0.062055072423174096,0.053539274880198606,1.5390278076039976,False
NQ,GLOBEX,0.2,12,2.88187941017747,1.3433776808936602,1.2895252654029532,1.0,0.05385241549070696,0.04176142719768983,1.5390278076039976,False
NQ,GLOBEX,0.2,23,2.88187941017747,1.7262507233295172,1.6554942825174754,1.0,0.0707564408120418,0.0427403715973238,1.5390278076039976,False
NQ,GLOBEX,0.2,46,2.88187941017747,2.2914864074584793,2.202413823965541,1.0,0.08907258349293823,0.040443164006553234,1.5390278076039976,False
NQ,GLOBEX,0.2,138,2.88187941017747,3.0568994615681073,3.0305424483172274,1.0,0.026357013250879913,0.008697127230643309,1.5390278076039976,False
