root,geom,q,lag,S_naive,nugget,S_corrected,nugget_share
ES,GLOBEX,1.0,8,0.8773726095872599,0.43188649996019807,0.44548610962706187,0.49224980953459363
ES,GLOBEX,1.0,9,0.9040553938101686,0.43188649996019807,0.4721688938499706,0.4777212800423649
ES,GLOBEX,1.0,10,0.9541513117902907,0.43188649996019807,0.5222648118300925,0.4526394237721499
ES,GLOBEX,1.0,11,0.9927720482146045,0.43188649996019807,0.5608855482544064,0.43503088220191155
ES,GLOBEX,1.0,12,1.016031678963871,0.43188649996019807,0.5841451790036729,0.4250718839796682
ES,GLOBEX,1.0,13,1.0417028619044175,0.43188649996019807,0.6098163619442194,0.41459663379500844
ES,GLOBEX,1.0,14,1.0564392957876108,0.43188649996019807,0.6245527958274126,0.40881336171636085
ES,GLOBEX,1.0,15,1.0505250260152634,0.43188649996019807,0.6186385260550653,0.411114908512349
ES,GLOBEX,1.0,16,1.078221599345714,0.43188649996019807,0.6463350993855159,0.40055448733569726
ES,GLOBEX,1.0,17,1.115617384767798,0.43188649996019807,0.6837308848075998,0.38712779655194235
ES,GLOBEX,1.0,18,1.1572046030002003,0.43188649996019807,0.7253181030400022,0.37321533187863004
ES,GLOBEX,1.0,19,1.1858283452454235,0.43188649996019807,0.7539418452852253,0.36420659169756414
ES,GLOBEX,1.0,20,1.198781520464867,0.43188649996019807,0.766895020504669,0.36027123590687304
ES,GLOBEX,1.0,21,1.2808413718556333,0.43188649996019807,0.8489548718954352,0.33718968597531923
ES,GLOBEX,1.0,22,1.2899714305657854,0.43188649996019807,0.8580849306055873,0.33480315123783116
ES,GLOBEX,1.0,23,1.3311744399873549,0.43188649996019807,0.8992879400271567,0.3244401988099326
ES,GLOBEX,1.0,24,1.3696764589443997,0.43188649996019807,0.9377899589842016,0.3153200868276951
ES,GLOBEX,1.0,25,1.3531672175143614,0.43188649996019807,0.9212807175541633,0.3191671320219627
ES,GLOBEX,1.0,26,1.3703149517065747,0.43188649996019807,0.9384284517463766,0.3151731646964309
ES,GLOBEX,1.0,27,1.36065798790462,0.43188649996019807,0.9287714879444218,0.3174100352913025
ES,GLOBEX,1.0,28,1.3839709647044862,0.43188649996019807,0.9520844647442881,0.31206326648075094
ES,GLOBEX,1.0,29,1.3798705440609151,0.43188649996019807,0.947984044100717,0.31299059308068844
ES,GLOBEX,1.0,30,1.3797559437343299,0.43188649996019807,0.9478694437741317,0.31301658957981426
ES,GLOBEX,1.0,31,1.3837830276096341,0.43188649996019807,0.951896527649436,0.3121056490382345
ES,GLOBEX,1.0,32,1.4097056656643803,0.43188649996019807,0.9778191657041821,0.3063664355471355
ES,GLOBEX,1.0,33,1.3955947131870863,0.43188649996019807,0.9637082132268882,0.30946412728514083
ES,GLOBEX,1.0,34,1.4104703226731639,0.43188649996019807,0.9785838227129657,0.30620034538668944
ES,GLOBEX,1.0,35,1.4286660065169057,0.43188649996019807,0.9967795065567076,0.3023005362975909
ES,GLOBEX,1.0,36,1.4186848649631683,0.43188649996019807,0.9867983650029701,0.30442736835104717
ES,GLOBEX,1.0,37,1.4278987589112488,0.43188649996019807,0.9960122589510507,0.30246297033656994
ES,GLOBEX,1.0,38,1.44956559038226,0.43188649996019807,1.0176790904220618,0.29794201988908053
ES,GLOBEX,1.0,39,1.4724141712349679,0.43188649996019807,1.0405276712747697,0.2933186248798183
ES,GLOBEX,1.0,40,1.4435478237724095,0.43188649996019807,1.0116613238122114,0.299184060858859
ES,GLOBEX,2.0,1,0.40830334133667134,0.43188649996019807,-0.023583158623526723,1.057758916560227
ES,GLOBEX,2.0,2,0.5542249709222264,0.43188649996019807,0.12233847096202838,0.7792620733806742
ES,GLOBEX,2.0,3,0.6521024442473506,0.43188649996019807,0.22021594428715258,0.6622985449144829
ES,GLOBEX,2.0,4,0.7209248441705787,0.43188649996019807,0.2890383442103806,0.5990728485118055
ES,GLOBEX,2.0,5,0.7684480771588617,0.43188649996019807,0.3365615771986636,0.5620243095109131
ES,GLOBEX,2.0,6,0.8340107036771632,0.43188649996019807,0.40212420371696517,0.5178428742652885
ES,GLOBEX,2.0,7,0.9081556819368792,0.43188649996019807,0.47626918197668117,0.475564386757001
ES,GLOBEX,2.0,8,0.9523863719531298,0.43188649996019807,0.5204998719929317,0.4534782444172276
ES,GLOBEX,2.0,9,0.985623688822571,0.43188649996019807,0.553737188862373,0.4381859982242624
ES,GLOBEX,2.0,10,1.0490661284322271,0.43188649996019807,0.617179628472029,0.4116866308567499
ES,GLOBEX,2.0,11,1.0907160686945923,0.43188649996019807,0.6588295687343941,0.39596601934827563
ES,GLOBEX,2.0,12,1.1102103311629716,0.43188649996019807,0.6783238312027735,0.3890132237445374
ES,GLOBEX,2.0,13,1.13770116340034,0.43188649996019807,0.7058146634401419,0.3796133060718544
ES,GLOBEX,2.0,14,1.1530027099690687,0.43188649996019807,0.7211162100088706,0.3745754422136477
ES,GLOBEX,2.0,15,1.1521429228269533,0.43188649996019807,0.7202564228667552,0.37485496929538964
ES,GLOBEX,2.0,16,1.1964865058326997,0.43188649996019807,0.7646000058725015,0.36096228236157574
ES,GLOBEX,2.0,17,1.2225863131033725,0.43188649996019807,0.7906998131431744,0.35325644932496564
ES,GLOBEX,2.0,18,1.2580100996037284,0.43188649996019807,0.8261235996435303,0.3433092469577484
ES,GLOBEX,2.0,19,1.3051047483684193,0.43188649996019807,0.8732182484082212,0.3309209475332323
ES,GLOBEX,2.0,20,1.3086719261288011,0.43188649996019807,0.876785426168603,0.3300189232589156
ES,GLOBEX,2.0,21,1.3688147217235782,0.43188649996019807,0.9369282217633801,0.315518596568261
ES,GLOBEX,2.0,22,1.3842900300280492,0.43188649996019807,0.9524035300678511,0.31199133894755204
ES,GLOBEX,2.0,23,1.4204879201785139,0.43188649996019807,0.9886014202183158,0.3040409522848477
