root,geom,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab,first_share
ES,GLOBEX,6.0,0,2794188074,-1.329832349742283,1.0116443485906002,4.040834254807641,0.004937445873307417,144.2184180606025,-0.5951219840897238,-0.9834965841811083,0.0061855126918177825
ES,GLOBEX,6.0,1,754874151,-1.191339096460138,0.9885165488106954,3.7897648690854138,0.012901901645453255,106.63909915497025,-0.6241413315190398,-0.979920964581873,0.006577835558665027
ES,GLOBEX,6.0,2,1782940083,-1.270400098569323,1.0442023465753658,3.81867289273569,0.01475227694625114,126.3426507097331,-0.6066042532614144,-0.9820676765877389,0.006559382204345416
ES,GLOBEX,6.0,3,1070583203,-1.3630674396718372,1.0315974300550297,4.527800380280802,0.0075570635311862965,156.01259981584658,-0.589263493521003,-0.9842349777216913,0.006572626269029977
ES,GLOBEX,6.0,4,806876723,-1.1262396318409797,1.0143992027869198,3.0069687619280576,0.014279203893092321,91.19501667642203,-0.6408067879117992,-0.9779022744141251,0.006565202377282853
ES,GLOBEX,10.0,0,1008558378,-1.1675859108952276,0.9629340090565288,3.3256084363937544,0.005552835065355299,100.32627884893662,-0.6299755437894562,-0.9792130096825817,0.009181222835234731
ES,GLOBEX,10.0,1,1700606592,-1.1252920439844745,0.9853756069295697,3.0946004719041684,0.007798028205078173,91.17770056578598,-0.6410680526158676,-0.97787067652747,0.008990859461141087
ES,GLOBEX,10.0,2,3933468572,-0.9993948947311848,1.056973471297179,2.1670327979687163,0.007294671681794813,68.25770482054317,-0.6799484045470662,-0.9731176067447395,0.009139991249710976
ES,GLOBEX,10.0,3,1680997016,-1.2185229064261527,0.9795347978723358,3.5046332914581986,0.008309576106936452,112.34297848966158,-0.617795915569841,-0.9806938417537138,0.008930347877918776
ES,GLOBEX,10.0,4,14761077,-1.1934555819219455,1.012340749989254,3.2996043590251207,0.014174717439838802,106.03412755014898,-0.6236354854004769,-0.9799824517763202,0.00897178592487128
ES,GLOBEX,20.0,0,189627309,-1.2334675467484548,1.0489838710554438,3.228291961490497,0.0069727433077007295,115.60962338697436,-0.6144526001309972,-0.9811026302925653,0.016536449342358712
ES,GLOBEX,20.0,1,315580742,-1.3261885647476017,0.985338615352937,4.464784795509608,0.005458713545960881,143.96683397364242,-0.5957876706794647,-0.9834131125169169,0.016701266048022023
ES,GLOBEX,20.0,2,3045241493,-1.1416777972921757,1.0236335296302241,3.1270536566553377,0.009584649706265732,94.50766645914464,-0.6366610822182903,-0.9784036800584298,0.015043814885389677
ES,GLOBEX,20.0,3,3320216662,-1.1117603414587973,1.0261236892643997,2.809191949834931,0.009258799917598993,88.05530628561299,-0.6448150831465702,-0.9774174396319355,0.01613374067793214
ES,GLOBEX,20.0,4,1122687653,-1.2528047773650233,1.0977257438745098,3.524341050124751,0.009881523609369185,121.07109488958012,-0.6102699589203403,-0.9816159102564754,0.01604334786545988
ES,GLOBEX,40.0,0,697530144,-0.9759934965050985,0.9535403017085342,2.454135709132751,0.011744689569423488,65.27442570004675,-0.6882044429146897,-0.9720796591879414,0.028312542676598416
ES,GLOBEX,40.0,1,2500352521,-1.0663184064926792,0.9951891015829101,2.5884514154119804,0.004481806844808035,79.47097281488249,-0.658140736444474,-0.9758013153334283,0.028689566102638155
ES,GLOBEX,40.0,2,3538624333,-1.1749436892935756,1.0433946164937031,3.0469987127105727,0.0012054943176895358,101.44039767455733,-0.6281389976211739,-0.979435651971679,0.029011172477890135
ES,GLOBEX,40.0,3,1793209467,-1.0462818698717893,1.0074988205043762,2.5024515650059005,0.009986559783531659,75.97251234464258,-0.6643918451579803,-0.9750385716679233,0.02914989859402329
ES,GLOBEX,40.0,4,2433096561,-1.3526797836505344,1.0614016894836316,4.473932061334708,0.009579516348918987,152.43469124416893,-0.5910568306907659,-0.9840082210088091,0.02947608012044917
ES,GLOBEX,80.0,0,1388232,-1.2446930388323423,1.0242150941793955,3.4308248644053285,0.004654998771594688,118.79206912911378,-0.6120038146250499,-0.9814028711251128,0.05093415360145585
ES,GLOBEX,80.0,1,757392137,-1.0236226819404417,1.0086012700005833,2.4669379390354442,0.009041565614028921,72.28745847719371,-0.6717449131284917,-0.9741353632980568,0.05144103405096762
ES,GLOBEX,80.0,2,1080279905,-1.1666967767810037,1.0725726158325875,3.670974788984829,0.007866683233932617,100.95503681777691,-0.6301978702941182,-0.9791860768452428,0.053013689469923325
ES,GLOBEX,80.0,3,259573837,-1.214832009022672,1.0157149518406463,3.627568238276855,0.004038438471295811,111.70334406615093,-0.6186368375816005,-0.980591199531692,0.05246342388567281
ES,GLOBEX,80.0,4,3906691937,-1.1183344465014329,0.9678355965759715,2.664566198928021,0.00737362528205116,89.14113094469998,-0.6429820768431285,-0.9776391827090269,0.0530487917067975
ES,GLOBEX,160.0,0,1416685928,-1.228091287302192,1.0415633229807502,3.443855434036675,0.004872377140496085,114.58686116317719,-0.6156431180058933,-0.9809569251750393,0.09087169976317479
ES,GLOBEX,160.0,1,2848865313,-1.013990451198108,1.0087324331716352,2.372360704783235,0.006566980085094257,70.66908418317902,-0.6749587801090537,-0.9737380507124652,0.09144041937322132
ES,GLOBEX,160.0,2,3695001753,-1.1667925257158949,0.9633519144485383,3.429636831334492,0.00773444069249502,100.38120468564762,-0.630176286844789,-0.9791886887290772,0.08942784136670129
ES,GLOBEX,160.0,3,208176569,-1.2477290362395597,1.0314006969495846,3.747968811961212,0.005950393683194556,120.1607803858704,-0.6113503599595689,-0.9814831223622313,0.09074129549924197
ES,GLOBEX,160.0,4,714958315,-1.2831181989289566,1.0574433754972101,3.3984167667839023,0.006324584673405093,129.2208228939097,-0.6040325402505626,-0.9823858031445741,0.09238532323019735
ES,GLOBEX,320.0,0,2095169441,-1.2857913872585414,1.1138561988375875,3.6750689608497153,0.006996425980589028,130.38340592308907,-0.6034962280954593,-0.9824522781138931,0.15405916385824836
ES,GLOBEX,320.0,1,780567499,-1.1333968289973508,1.0746744324358746,3.206548133777845,0.003998608731152223,93.00710351326249,-0.6388714518478661,-0.9781363314743959,0.1565368706225079
