root,geom,btag,M,variant,median,ref_2overM,med_over_ref,trigamma,median_over_trigamma,p95,share_gt10x_med
ES,GLOBEX,B1,46,TRQ10_TRV10,0.0688442398073672,0.0434782608695652,1.583417515569446,0.044437133536578646,1.5492502402455308,0.16691486072522,0.0
ES,GLOBEX,B1,46,MEDRQ_MEDRV,0.0596774051803683,0.0434782608695652,1.3725803191484718,0.044437133536578646,1.3429625277527082,0.1300121129885363,0.0
ES,GLOBEX,B1,138,RQ_RV,0.0284352675957259,0.0144927536231884,1.9620334641050885,0.014598280898442317,1.9478504211245882,0.0720317725192599,0.0010240655401945
ES,GLOBEX,B1,138,TQ_BV,0.0243096928024612,0.0144927536231884,1.6773688033698289,0.014598280898442317,1.665243529123701,0.052185486944735,0.0
ES,GLOBEX,B1,138,TRQ3_TRV3,0.0189823032948146,0.0144927536231884,1.3097789273422134,0.014598280898442317,1.3003108672090335,0.0266993588501529,0.0
ES,GLOBEX,B1,138,TRQ5_TRV5,0.0258456360439768,0.0144927536231884,1.783348887034404,0.014598280898442317,1.7704575096054365,0.0424925819771315,0.0
ES,GLOBEX,B1,138,TRQ10_TRV10,0.0283843938542628,0.0144927536231884,1.958523175944136,0.014598280898442317,1.9443655079476863,0.0715104940861451,0.0
ES,GLOBEX,B1,138,MEDRQ_MEDRV,0.0251155786553614,0.0144927536231884,1.7329749272199402,0.014598280898442317,1.7204476903880725,0.0605877552815909,0.0
ES,GLOBEX,B1,345,RQ_RV,0.0133186399581726,0.0057971014492753,2.297465392784779,0.005813937111601127,2.2908125255769614,0.0399221358286854,0.0066564260112647
ES,GLOBEX,B1,345,TQ_BV,0.0113868773958647,0.0057971014492753,1.964236350786664,0.005813937111601127,1.9585484289369646,0.0252012321029451,0.0
ES,GLOBEX,B1,345,TRQ3_TRV3,0.0077589456060199,0.0057971014492753,1.3384181170384355,0.005813937111601127,1.3345424033806117,0.0106552670127928,0.0
ES,GLOBEX,B1,345,TRQ5_TRV5,0.010964192063962,0.0057971014492753,1.8913231310334584,0.005813937111601127,1.885846347062141,0.0160178101723038,0.0
ES,GLOBEX,B1,345,TRQ10_TRV10,0.0132391433929483,0.0057971014492753,2.2837522352835955,0.005813937111601127,2.277139077842951,0.0322629367853075,0.0
ES,GLOBEX,B1,345,MEDRQ_MEDRV,0.0115306716152953,0.0057971014492753,1.9890408536384545,0.005813937111601127,1.9832811043461418,0.0274255308041001,0.0
ES,GLOBEX,B1,1380,RQ_RV,0.0037382746006953,0.0014492753623188,2.579409474479774,0.0014503260691993117,2.577540788988994,0.0150787283737055,0.0138248847926267
ES,GLOBEX,B1,1380,TQ_BV,0.0032603421388148,0.0014492753623188,2.249636075782248,0.0014503260691993117,2.2480062987592526,0.0082991501207404,0.0030721966205837
ES,GLOBEX,B1,1380,TRQ3_TRV3,0.0018945696078155,0.0014492753623188,1.3072530293926994,0.0014503260691993117,1.30630597356734,0.00252199984949,0.0
ES,GLOBEX,B1,1380,TRQ5_TRV5,0.0026877444985514,0.0014492753623188,1.8545437040005148,0.0014503260691993117,1.8532001565932243,0.0037205235194926,0.0
ES,GLOBEX,B1,1380,TRQ10_TRV10,0.0036219464586784,0.0014492753623188,2.4991430564881156,0.0014503260691993117,2.4973325210088686,0.0066502100796846,0.0
ES,GLOBEX,B1,1380,MEDRQ_MEDRV,0.0031429092235174,0.0014492753623188,2.1686073642270105,0.0014503260691993117,2.167036289468699,0.0078771124007271,0.0040962621607782
NQ,GLOBEX,B0,23,RQ_RV,0.1240475656637056,0.0869565217391304,1.4265470051326146,0.09084666127454626,1.3654609197890435,0.300749153513198,0.0
NQ,GLOBEX,B0,23,TQ_BV,0.099538497606875,0.0869565217391304,1.1446927224790633,0.09084666127454626,1.0956759027837168,0.1916472178769416,0.0
NQ,GLOBEX,B0,23,TRQ3_TRV3,0.1039502753508215,0.0869565217391304,1.1954281665344475,0.09084666127454626,1.1442388073753753,0.1718873447901826,0.0
NQ,GLOBEX,B0,23,TRQ5_TRV5,0.1199330875418118,0.0869565217391304,1.3792305067308364,0.09084666127454626,1.320170558380389,0.2489377405198779,0.0
NQ,GLOBEX,B0,23,TRQ10_TRV10,0.1240475656637056,0.0869565217391304,1.4265470051326146,0.09084666127454626,1.3654609197890435,0.300749153513198,0.0
NQ,GLOBEX,B0,23,MEDRQ_MEDRV,0.1070569502605441,0.0869565217391304,1.2311549279962577,0.09084666127454626,1.1784357152874225,0.2247836883457968,0.0
NQ,GLOBEX,B0,46,RQ_RV,0.0772372205874163,0.0434782608695652,1.7764560735105754,0.044437133536578646,1.7381233765638395,0.1998777549721868,0.0
NQ,GLOBEX,B0,46,TQ_BV,0.0619384979233838,0.0434782608695652,1.424585452237828,0.044437133536578646,1.3938454844842505,0.1289822553956813,0.0
NQ,GLOBEX,B0,46,TRQ3_TRV3,0.0566818351934478,0.0434782608695652,1.3036822094492997,0.044437133536578646,1.2755511141777376,0.0894073723281043,0.0
NQ,GLOBEX,B0,46,TRQ5_TRV5,0.0723348199716911,0.0434782608695652,1.6637008593488962,0.044437133536578646,1.6278012152189865,0.1381915734655567,0.0
NQ,GLOBEX,B0,46,TRQ10_TRV10,0.0772372205874163,0.0434782608695652,1.7764560735105754,0.044437133536578646,1.7381233765638395,0.1984100760708117,0.0
NQ,GLOBEX,B0,46,MEDRQ_MEDRV,0.0652112350620598,0.0434782608695652,1.499858406427377,0.044437133536578646,1.4674941849788947,0.1459717605530344,0.0
NQ,GLOBEX,B0,138,RQ_RV,0.034276310836456,0.0144927536231884,2.3650654477154687,0.014598280898442317,2.347968988602856,0.0878289987457963,0.0005133470225872
NQ,GLOBEX,B0,138,TQ_BV,0.0279021679532761,0.0144927536231884,1.9252495887760543,0.014598280898442317,1.9113324471139166,0.0601463418349699,0.0
NQ,GLOBEX,B0,138,TRQ3_TRV3,0.0205073092729956,0.0144927536231884,1.4150043398367032,0.014598280898442317,1.4047756318474318,0.0293405268883663,0.0
NQ,GLOBEX,B0,138,TRQ5_TRV5,0.0290142292071184,0.0144927536231884,2.0019818152911717,0.014598280898442317,1.9875099957978142,0.0469027646478047,0.0
NQ,GLOBEX,B0,138,TRQ10_TRV10,0.0341815885401241,0.0144927536231884,2.358529609268566,0.014598280898442317,2.341480396076731,0.0852976907734077,0.0
NQ,GLOBEX,B0,138,MEDRQ_MEDRV,0.0296339524158751,0.0144927536231884,2.044742716695383,0.014598280898442317,2.029961789475988,0.0715676538088045,0.0
NQ,GLOBEX,B0,345,RQ_RV,0.0164559824986287,0.0057971014492753,2.838656981013463,0.005813937111601127,2.83043696255201,0.0515322954312331,0.0071868583162217
NQ,GLOBEX,B0,345,TQ_BV,0.0129337601393454,0.0057971014492753,2.231073624037082,0.005813937111601127,2.2246130102675834,0.030257247802696,0.0
