root,geom,btag,horizon,M,variant,n,n_Q_zero,n_Q_lt_1e14,n_P_zero,n_P_lt_1e14,min_Q,min_P
NQ,GLOBEX,B1,1day,46,RQ_RV,1948,0,0,0,0,1.0648862475552962e-11,3.073881089221686e-06
NQ,GLOBEX,B1,1day,46,TQ_BV,1948,0,0,0,0,9.280532597210243e-12,2.723215591590279e-06
NQ,GLOBEX,B1,1day,46,TRQ3_TRV3,1948,0,0,0,0,8.394663171797471e-12,2.4647797545185313e-06
NQ,GLOBEX,B1,1day,46,TRQ5_TRV5,1948,0,0,0,0,8.799309023748315e-12,3.0368337320396677e-06
NQ,GLOBEX,B1,1day,46,TRQ10_TRV10,1948,0,0,0,0,1.0648862475552962e-11,3.073881089221686e-06
NQ,GLOBEX,B1,1day,46,MEDRQ_MEDRV,1948,0,0,0,0,6.645595943834011e-12,2.545799823080649e-06
NQ,GLOBEX,B1,1day,138,RQ_RV,1948,0,0,0,0,2.1192430472297253e-11,3.865071448672097e-06
NQ,GLOBEX,B1,1day,138,TQ_BV,1948,0,0,0,0,1.917077985705605e-11,3.520451813002997e-06
NQ,GLOBEX,B1,1day,138,TRQ3_TRV3,1948,0,0,0,0,7.925974059932345e-12,2.54254337050952e-06
NQ,GLOBEX,B1,1day,138,TRQ5_TRV5,1948,0,0,0,0,2.1192430472297253e-11,3.865071448672097e-06
NQ,GLOBEX,B1,1day,138,TRQ10_TRV10,1948,0,0,0,0,2.1192430472297253e-11,3.865071448672097e-06
NQ,GLOBEX,B1,1day,138,MEDRQ_MEDRV,1948,0,0,0,0,2.0086095216531224e-11,3.642381549898245e-06
NQ,GLOBEX,B1,1day,345,RQ_RV,1948,0,0,0,0,2.1209959070742405e-11,4.214836735627614e-06
NQ,GLOBEX,B1,1day,345,TQ_BV,1948,0,0,0,0,2.091651571076145e-11,4.0739477486017534e-06
NQ,GLOBEX,B1,1day,345,TRQ3_TRV3,1948,0,0,0,0,1.6361393258529463e-11,3.5632865547086112e-06
