root,geom,btag,horizon,model,window_index,session_date,window_in_session,window_start_min_from_1800NY,ny_clock,overnight,rv,forecast
ES,GLOBEX,B0,1h,M2_HAR,6158,2017-02-20,20,1200,14:00,False,0.0,4.83334434217058e-07
ES,GLOBEX,B0,1h,M2_HAR,6159,2017-02-20,21,1260,15:00,False,0.0,4.805393849715127e-07
ES,GLOBEX,B0,1h,M2_HAR,7609,2017-05-29,19,1140,13:00,False,0.0,6.432552068146109e-07
ES,GLOBEX,B0,1h,M2_HAR,7610,2017-05-29,20,1200,14:00,False,0.0,4.226939953389522e-07
ES,GLOBEX,B0,1h,M2_HAR,7611,2017-05-29,21,1260,15:00,False,0.0,4.207562882111386e-07
ES,GLOBEX,B0,1h,M2_HAR,8093,2017-07-04,19,1140,13:00,False,0.0,9.454483482943034e-07
ES,GLOBEX,B0,1h,M2_HAR,8094,2017-07-04,20,1200,14:00,False,0.0,5.441862711227268e-07
ES,GLOBEX,B0,1h,M2_HAR,8095,2017-07-04,21,1260,15:00,False,0.0,5.414137025024984e-07
ES,GLOBEX,B0,1h,M2_HAR,9061,2017-09-04,19,1140,13:00,False,0.0,7.693631667202753e-07
ES,GLOBEX,B0,1h,M2_HAR,9062,2017-09-04,20,1200,14:00,False,0.0,4.7670150530882777e-07
ES,GLOBEX,B0,1h,M2_HAR,9063,2017-09-04,21,1260,15:00,False,0.0,4.7486492858686544e-07
ES,GLOBEX,B0,1h,M2_HAR,10271,2017-11-23,19,1140,13:00,False,0.0,6.308557260397672e-07
ES,GLOBEX,B0,1h,M2_HAR,10272,2017-11-23,20,1200,14:00,False,0.0,3.5445521434158754e-07
ES,GLOBEX,B0,1h,M2_HAR,10273,2017-11-23,21,1260,15:00,False,0.0,3.529769539959571e-07
ES,GLOBEX,B0,1h,M2_HAR,10953,2018-01-15,19,1140,13:00,False,0.0,5.772326194992685e-07
ES,GLOBEX,B0,1h,M2_HAR,10954,2018-01-15,20,1200,14:00,False,0.0,3.825051515193473e-07
ES,GLOBEX,B0,1h,M2_HAR,10955,2018-01-15,21,1260,15:00,False,0.0,3.813114268500412e-07
ES,GLOBEX,B0,1h,M2_HAR,11503,2018-02-19,19,1140,13:00,False,0.0,4.790841066273481e-06
ES,GLOBEX,B0,1h,M2_HAR,11504,2018-02-19,20,1200,14:00,False,0.0,2.7399766009231383e-06
ES,GLOBEX,B0,1h,M2_HAR,11505,2018-02-19,21,1260,15:00,False,0.0,2.7042484307270075e-06
ES,GLOBEX,B0,1h,M2_HAR,12955,2018-05-28,19,1140,13:00,False,0.0,1.2282844637364823e-06
ES,GLOBEX,B0,1h,M2_HAR,12956,2018-05-28,20,1200,14:00,False,0.0,8.775519338287385e-07
ES,GLOBEX,B0,1h,M2_HAR,12957,2018-05-28,21,1260,15:00,False,0.0,8.684493900211828e-07
ES,GLOBEX,B0,1h,M2_HAR,13461,2018-07-04,19,1140,13:00,False,0.0,1.8654038062164762e-06
ES,GLOBEX,B0,1h,M2_HAR,13462,2018-07-04,20,1200,14:00,False,0.0,1.5049434390513146e-06
ES,GLOBEX,B0,1h,M2_HAR,13463,2018-07-04,21,1260,15:00,False,0.0,1.4998813548918924e-06
