root,geom,btag,horizon,arm,range,rule,seed_index,seed,lam_used,lam_in_unit,te,turnover,0.5t,1.0t,2.0t,4.0t
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R0,0,3280325159,,True,2.0123602980845758e-17,0.004869534578095863,0.0012671919356861073,0.0025343838713722147,0.005068767742744429,0.010137535485488859
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R1,0,3280325159,,True,1.6474117171581786,174.13768979463563,45.31559898955647,90.63119797911294,181.26239595822588,362.52479191645176
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R2,0,3280325159,0.9926414064188587,True,1.6358350766958167,157.3056003486113,40.93540871373555,81.8708174274711,163.7416348549422,327.4832697098844
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R3,0,3280325159,0.8496344690820835,True,1.412892126951398,21.815530957451134,5.677024047912712,11.354048095825425,22.70809619165085,45.4161923833017
NQ,GLOBEX,B0,1day,A4p,extended,R0,0,3280325159,,True,2.0123602980845758e-17,0.004869534578095863,0.0012671919356861073,0.0025343838713722147,0.005068767742744429,0.010137535485488859
NQ,GLOBEX,B0,1day,A4p,extended,R1,0,3280325159,,True,1.6474117171581786,174.13768979463563,45.31559898955647,90.63119797911294,181.26239595822588,362.52479191645176
NQ,GLOBEX,B0,1day,A4p,extended,R2,0,3280325159,0.9933437324775314,True,1.6369396036356838,158.83926070824657,41.33451092949006,82.66902185898012,165.33804371796023,330.67608743592046
NQ,GLOBEX,B0,1day,A4p,extended,R3,0,3280325159,0.9399469453085768,True,1.5532080122289995,75.96248980087486,19.76760878201773,39.53521756403546,79.07043512807093,158.14087025614185
NQ,GLOBEX,B0,1day,A2,restricted_S05,R0,1,10724713,,True,4.0247205961691515e-17,0.0040652099129077955,0.0010578836921458592,0.0021157673842917184,0.004231534768583437,0.008463069537166874
NQ,GLOBEX,B0,1day,A2,restricted_S05,R1,1,10724713,,True,0.598817716315232,8.893352597016393e-05,2.3143042751652508e-05,4.6286085503305015e-05,9.257217100661003e-05,0.00018514434201322006
NQ,GLOBEX,B0,1day,A2,restricted_S05,R2,1,10724713,0.9926414064188587,True,0.5978500461828117,8.845859067551418e-05,2.3019451027289353e-05,4.6038902054578706e-05,9.207780410915741e-05,0.00018415560821831483
NQ,GLOBEX,B0,1day,A2,restricted_S05,R3,1,10724713,0.8496344690820835,True,0.58014432428128,7.8765311772093e-05,2.049698308712438e-05,4.099396617424876e-05,8.198793234849752e-05,0.00016397586469699504
NQ,GLOBEX,B0,1day,A2,extended,R0,1,10724713,,True,4.0247205961691515e-17,0.0040652099129077955,0.0010578836921458592,0.0021157673842917184,0.004231534768583437,0.008463069537166874
NQ,GLOBEX,B0,1day,A2,extended,R1,1,10724713,,True,0.598817716315232,8.893352597016393e-05,2.3143042751652508e-05,4.6286085503305015e-05,9.257217100661003e-05,0.00018514434201322006
NQ,GLOBEX,B0,1day,A2,extended,R2,1,10724713,0.9933437324775314,True,0.5979421716975677,8.850401849517568e-05,2.3031272643053164e-05,4.606254528610633e-05,9.212509057221266e-05,0.0001842501811444253
NQ,GLOBEX,B0,1day,A2,extended,R3,1,10724713,0.9399469453085768,True,0.5910793679400798,8.499033728275205e-05,2.2116912466418778e-05,4.4233824932837556e-05,8.846764986567511e-05,0.00017693529973135023
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R0,1,10724713,,True,4.929255908942267e-17,0.004940118680811493,0.0012855599345809546,0.0025711198691619093,0.005142239738323819,0.010284479476647637
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R1,1,10724713,,True,1.1816463269105857,78.36219726647604,20.39208118274656,40.78416236549312,81.56832473098623,163.13664946197247
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R2,1,10724713,0.9926414064188587,True,1.1741799081491797,70.78534501367734,18.420367886814685,36.84073577362937,73.68147154725874,147.36294309451748
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R3,1,10724713,0.8496344690820835,True,1.0316239707160177,9.810363817371384,2.5529367778677803,5.105873555735561,10.211747111471121,20.423494222942242
