root,geom,btag,horizon,range,candidate,n,ic_raw,r2_raw,lam_theory,lam_intercept,r2_corr_theory,r2_corr_measured,ic_corr_theory,ic_corr_measured,keep_raw,keep_theory,keep_measured,band_lo,band_hi,in_flip_band,lam_in_unit
ES,RTH,B0,1day,extended,JumpVar,1900,-0.046686068191662586,0.002179588963196569,0.9765359952651714,0.8397800078923314,0.002231959675592621,0.0025954284964069007,-0.047243620475071774,-0.05094534813314068,False,False,False,0.01679560015784663,0.02,False,True
ES,RTH,B0,1day,extended,Parkinson,1900,0.7798775040010456,0.608208921246901,0.9765359952651714,0.8397800078923314,0.6228228392971281,0.7242479167530739,0.7891912564753414,0.8510275652134153,True,True,True,0.01679560015784663,0.02,False,True
ES,RTH,B0,1day,extended,GarmanKlass,1900,0.7790204267088888,0.6068728252296992,0.9765359952651714,0.8397800078923314,0.6214546398414195,0.7226569095789985,0.7883239434657681,0.850092294741576,True,True,True,0.01679560015784663,0.02,False,True
ES,RTH,B0,1day,extended,VolumeSurprise,1900,0.28363064010426536,0.0804463400059553,0.9765359952651714,0.8397800078923314,0.08237928800987071,0.09579454053432213,0.2870179228025154,0.3095069313187059,True,True,True,0.01679560015784663,0.02,False,True
ES,RTH,B0,1day,extended,CrossLeadLag,1900,0.7812855987886114,0.610407186874479,0.9765359952651714,0.8397800078923314,0.6250739243961276,0.726865585198284,0.7906161675529584,0.8525641238043529,True,True,True,0.01679560015784663,0.02,False,True
ES,RTH,B0,1day,extended,RealizedQuarticity,1900,0.7926679115175639,0.6283224179496165,0.9765359952651714,0.8397800078923314,0.6434196189347838,0.7481988283176348,0.8021344145059379,0.8649848717276128,True,True,True,0.01679560015784663,0.02,False,True
ES,RTH,B0,1day,extended,SignatureSlope,1900,0.07986116854887747,0.006377806241992216,0.9765359952651714,0.8397800078923314,0.006531050850061464,0.007594615473163202,0.08081491724961094,0.08714709101951253,False,False,False,0.01679560015784663,0.02,False,True
ES,RTH,B0,1h,extended,RS_up,11405,0.1129669691319784,0.01276153611486536,0.8529726155294435,0.588054052124918,0.014961249496789794,0.021701297812253623,0.12231618656903016,0.14731360362252233,False,False,True,0.01176108104249836,0.02,True,True
ES,RTH,B0,1h,extended,RS_down,11405,0.09365626993204813,0.008771496897584663,0.8529726155294435,0.588054052124918,0.010283444905367988,0.014916140558659679,0.10140732175424015,0.12213165256664497,False,False,False,0.01176108104249836,0.02,False,True
ES,RTH,B0,1h,extended,JumpVar,11405,-0.032014102224105986,0.0010249027412155079,0.8529726155294435,0.588054052124918,0.001201565821171582,0.001742871658671594,-0.03466360946542616,-0.04174771441254711,False,False,False,0.01176108104249836,0.02,False,True
ES,RTH,B0,1h,extended,Parkinson,11405,0.7432544567603531,0.5524271874941276,0.8529726155294435,0.588054052124918,0.6476493822152002,0.9394156634036384,0.8047666632106478,0.9692345760462935,True,True,True,0.01176108104249836,0.02,False,True
ES,RTH,B0,1h,extended,GarmanKlass,11405,0.7503754781559944,0.5630633582178372,0.8529726155294435,0.588054052124918,0.6601189158556298,0.9575027264640424,0.8124770248170897,0.9785206826961004,True,True,True,0.01176108104249836,0.02,False,True
ES,RTH,B0,1h,extended,VolumeSurprise,11405,0.2540422897547039,0.06453748498381293,0.8529726155294435,0.588054052124918,0.0756618487027913,0.10974753893899447,0.2750669894821829,0.331281661036337,True,True,True,0.01176108104249836,0.02,False,True
ES,RTH,B0,1h,extended,CrossLeadLag,11405,0.6910332613239761,0.4775269682560507,0.8529726155294435,0.588054052124918,0.559838568744259,0.8120460466695526,0.7482236087856751,0.9011359756826671,True,True,True,0.01176108104249836,0.02,False,True
ES,RTH,B0,1h,extended,RealizedQuarticity,11405,0.7430107246148842,0.5520649368927352,0.8529726155294435,0.588054052124918,0.6472246902675373,0.938799647579781,0.804502759639479,0.9689167392401583,True,True,True,0.01176108104249836,0.02,False,True
ES,RTH,B0,1h,extended,SignatureSlope,11405,0.01842378445734726,0.0003394358337307904,0.8529726155294435,0.588054052124918,0.0003979445852667864,0.0005772187650170046,0.019948548450120035,0.024025377520800886,False,False,False,0.01176108104249836,0.02,False,True
ES,RTH,B0,30min,extended,RS_up,22811,-0.0030696612270513803,9.422820048862585e-06,0.6736771351183367,0.3958240376050629,1.3987145410846387e-05,2.3805578119700478e-05,-0.0037399392255551946,-0.004879096035097124,False,False,False,0.007916480752101258,0.02,False,True
ES,RTH,B0,30min,extended,RS_down,22811,0.062182848716275566,0.003866706674471214,0.6736771351183367,0.3958240376050629,0.005739703001486011,0.009768751533804666,0.07576082761880318,0.09883699476311825,False,False,False,0.007916480752101258,0.02,False,True
