root,geom,btag,horizon,M,lam_E2,lam_E4,lam_intercept,var_log_rv,n,mean_eff_M,trigamma,lam_theory,is_five_min_equiv
NQ,RTH,B0,1h,30,0.9174697643142853,0.9605795344544357,0.8932710843299393,1.5951445785514482,11406,29.998246536910397,0.0689382278476838,0.9538515035829646,False
NQ,RTH,B0,1h,60,0.935730999945097,0.9781804166183807,0.9497789234694411,1.500240205521387,11406,59.99614238120287,0.033895060357739946,0.9767649740761797,False
NQ,RTH,B0,30min,5,1.0266443569011252,0.9994473676973,0.6429036707332101,2.1285236764311475,22812,4.9997808171138,0.4903577561002349,0.7361956711782681,False
NQ,RTH,B0,30min,6,0.7583767797990534,0.9969397199405703,0.6765338975574761,2.022715624096093,22812,5.99973698053656,0.39493406684822646,0.7760344553519921,True
NQ,RTH,B0,30min,10,0.8505498411391487,0.9127719633115481,0.7460481080132968,1.8342459020025323,22812,9.99947396107312,0.22132295573711533,0.8607820394298745,False
NQ,RTH,B0,30min,15,0.891767390848549,0.9330072091914107,0.795263267134123,1.720732921252029,22812,14.999123268455198,0.1426158966967038,0.9056181149332163,False
NQ,RTH,B0,30min,30,0.9264306788654363,0.9605987174182957,0.8653811737464322,1.581309746889758,22812,29.998071190601436,0.0689382278476838,0.9520387651117641,False
NQ,RTH,B1,1day,5,0.8455229544396118,0.8722192448309727,0.5814651684504336,1.8174300346069434,1901,5.0,0.4903577561002349,0.6830532982937639,False
NQ,RTH,B1,1day,6,0.6900566847549534,0.8626017992458404,0.6347455325822055,1.6648754610694987,1901,6.0,0.39493406684822646,0.7279518183447821,False
NQ,RTH,B1,1day,10,0.7739490001708027,0.8887893767223928,0.7274598206900444,1.4526881501402846,1901,10.0,0.22132295573711533,0.8268337500987534,False
NQ,RTH,B1,1day,13,0.793120023322425,0.9007971303638482,0.7909039137652737,1.3361575822638236,1901,13.0,0.16628453574995827,0.8640418530341591,False
NQ,RTH,B1,1day,26,0.8562438452991675,0.9377732679755661,0.8771657299604098,1.2047578070193194,1901,26.0,0.07995742842732394,0.9296601213502579,False
NQ,RTH,B1,1day,78,0.9094029909091661,0.9762839500445042,0.9312843759268288,1.1347471175685595,1901,77.99684376643872,0.025972566037214765,0.9760122926626974,True
